지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),습도(%)
102,백령도,2023-06-14 23:00,17.3,,.8,95
102,백령도,2023-06-15 00:00,17.3,,.8,95
102,백령도,2023-06-15 01:00,17.7,,1.7,96
102,백령도,2023-06-15 02:00,17.2,,1.6,97
102,백령도,2023-06-15 03:00,17.2,,1.9,98
102,백령도,2023-06-15 04:00,17,,.7,98
102,백령도,2023-06-15 05:00,17.2,,3.2,98
102,백령도,2023-06-15 06:00,16.5,,2.7,98
102,백령도,2023-06-15 07:00,17.6,,2.6,98
102,백령도,2023-06-15 08:00,17.4,,2.6,98
102,백령도,2023-06-15 09:00,21.1,,1.4,67
102,백령도,2023-06-15 10:00,22,,2.7,59
102,백령도,2023-06-15 11:00,21,,3.3,76
102,백령도,2023-06-15 12:00,23.3,,1.8,62
102,백령도,2023-06-15 13:00,23.6,,2.6,60
102,백령도,2023-06-15 14:00,25.1,,1.2,57
102,백령도,2023-06-15 15:00,23.1,,4.4,65
102,백령도,2023-06-15 16:00,22.2,,5.8,68
102,백령도,2023-06-15 17:00,21.3,,4.1,80
102,백령도,2023-06-15 18:00,22,,3.3,80
102,백령도,2023-06-15 19:00,21,,2.7,75
102,백령도,2023-06-15 20:00,20,,1,81
102,백령도,2023-06-15 21:00,18.7,,1.1,87
102,백령도,2023-06-15 22:00,19,,.9,86
102,백령도,2023-06-15 23:00,18.4,,.8,90
102,백령도,2023-06-16 00:00,18.2,,.4,93
102,백령도,2023-06-16 01:00,17.9,,1.3,95
102,백령도,2023-06-16 02:00,16.7,,.6,93
102,백령도,2023-06-16 03:00,16.2,,.7,97
102,백령도,2023-06-16 04:00,16.1,,1.3,98
102,백령도,2023-06-16 05:00,15.4,,1.9,98
102,백령도,2023-06-16 06:00,16.1,,1.3,98
102,백령도,2023-06-16 07:00,16.5,,.9,99
102,백령도,2023-06-16 08:00,18.2,,1,98
102,백령도,2023-06-16 09:00,18.4,,2.3,93
102,백령도,2023-06-16 10:00,20.7,,3,87
102,백령도,2023-06-16 11:00,22.3,,2.8,82
102,백령도,2023-06-16 12:00,22.4,,3.8,80
102,백령도,2023-06-16 13:00,22.8,,4.4,77
102,백령도,2023-06-16 14:00,22.8,,4.7,78
102,백령도,2023-06-16 15:00,23.1,,4.1,76
102,백령도,2023-06-16 16:00,22.3,,4.5,79
102,백령도,2023-06-16 17:00,21.5,,4.5,83
102,백령도,2023-06-16 18:00,21.5,,3,83
102,백령도,2023-06-16 19:00,20.1,,3.4,90
102,백령도,2023-06-16 20:00,18.1,,2.8,97
102,백령도,2023-06-16 21:00,18.1,,1.3,98
102,백령도,2023-06-16 22:00,17.9,,3.8,98
102,백령도,2023-06-16 23:00,18.1,,1.4,98
102,백령도,2023-06-17 00:00,19.1,,2.8,98
102,백령도,2023-06-17 01:00,19.2,,1.8,97
102,백령도,2023-06-17 02:00,15.9,,.6,98
102,백령도,2023-06-17 03:00,15.9,,2,99
102,백령도,2023-06-17 04:00,16.7,,2.3,99
102,백령도,2023-06-17 05:00,17,,2.4,99
102,백령도,2023-06-17 06:00,18,,1.1,99
102,백령도,2023-06-17 07:00,18.7,,2,99
102,백령도,2023-06-17 08:00,20,,2.6,98
102,백령도,2023-06-17 09:00,21.8,,2.3,80
102,백령도,2023-06-17 10:00,21.8,,2.5,77
102,백령도,2023-06-17 11:00,22.1,,3.2,76
102,백령도,2023-06-17 12:00,22.9,,2.5,76
102,백령도,2023-06-17 13:00,23.3,,3,71
102,백령도,2023-06-17 14:00,24,,2,71
102,백령도,2023-06-17 15:00,23.5,,2,70
102,백령도,2023-06-17 16:00,23.4,,3,72
102,백령도,2023-06-17 17:00,21.8,,2.7,79
102,백령도,2023-06-17 18:00,21.5,,1.9,81
102,백령도,2023-06-17 19:00,21,,1.6,84
102,백령도,2023-06-17 20:00,20.5,,1.5,88
102,백령도,2023-06-17 21:00,20,,1.5,90
102,백령도,2023-06-17 22:00,19.6,,.4,92
102,백령도,2023-06-17 23:00,19.2,,1.4,94
102,백령도,2023-06-18 00:00,18.8,,1.3,96
102,백령도,2023-06-18 01:00,18.9,,1.2,96
102,백령도,2023-06-18 02:00,19.1,,1.3,96
102,백령도,2023-06-18 03:00,18.5,,1,98
102,백령도,2023-06-18 04:00,18.1,,1.4,98
102,백령도,2023-06-18 05:00,18.4,,3.1,98
102,백령도,2023-06-18 06:00,18.2,,2.4,98
102,백령도,2023-06-18 07:00,18.1,,2.9,98
102,백령도,2023-06-18 08:00,19.2,,3.7,92
102,백령도,2023-06-18 09:00,19.4,,3.6,88
102,백령도,2023-06-18 10:00,20.3,,4.5,82
102,백령도,2023-06-18 11:00,20.9,,4.7,79
102,백령도,2023-06-18 12:00,21.6,,4.2,75
102,백령도,2023-06-18 13:00,22.1,,4.5,71
102,백령도,2023-06-18 14:00,21.7,,5.8,76
102,백령도,2023-06-18 15:00,21.6,,6.3,76
102,백령도,2023-06-18 16:00,21.5,,6.1,78
102,백령도,2023-06-18 17:00,21.1,,5.9,80
102,백령도,2023-06-18 18:00,20.9,,3.9,83
102,백령도,2023-06-18 19:00,20,,6.2,88
102,백령도,2023-06-18 20:00,19.3,,3.8,92
102,백령도,2023-06-18 21:00,19,,3.1,93
102,백령도,2023-06-18 22:00,19,,1,90
102,백령도,2023-06-18 23:00,19.3,,.5,75
102,백령도,2023-06-19 00:00,19.6,,.8,71
102,백령도,2023-06-19 01:00,17.8,,1.5,92
102,백령도,2023-06-19 02:00,18.5,,.5,75
102,백령도,2023-06-19 03:00,18.4,,1.9,78
102,백령도,2023-06-19 04:00,17.9,,3.2,95
102,백령도,2023-06-19 05:00,17.4,,2.7,98
102,백령도,2023-06-19 06:00,17.4,,1.2,98
102,백령도,2023-06-19 07:00,19.5,,1.7,92
102,백령도,2023-06-19 08:00,21.1,,2.2,74
102,백령도,2023-06-19 09:00,21.9,,2,72
102,백령도,2023-06-19 10:00,23.1,,1.5,68
102,백령도,2023-06-19 11:00,22.2,,2.4,72
102,백령도,2023-06-19 12:00,23.8,,2.5,67
102,백령도,2023-06-19 13:00,25,,.9,61
102,백령도,2023-06-19 14:00,26.2,,1.9,42
102,백령도,2023-06-19 15:00,26.5,,2.4,47
102,백령도,2023-06-19 16:00,25.1,,2.1,47
102,백령도,2023-06-19 17:00,25.6,,1.5,44
102,백령도,2023-06-19 18:00,23.2,,1.6,58
102,백령도,2023-06-19 19:00,22.5,,2.6,54
102,백령도,2023-06-19 20:00,21.4,,2.1,68
102,백령도,2023-06-19 21:00,21.3,,1.5,77
102,백령도,2023-06-19 22:00,20.7,,.8,85
102,백령도,2023-06-19 23:00,20.2,,2,85
102,백령도,2023-06-20 00:00,20,,1.6,81
102,백령도,2023-06-20 01:00,18.3,,2.7,89
102,백령도,2023-06-20 02:00,19.2,,2,87
102,백령도,2023-06-20 03:00,19.5,,1,83
102,백령도,2023-06-20 04:00,19.9,,.9,73
102,백령도,2023-06-20 05:00,19.5,0,.9,75
102,백령도,2023-06-20 06:00,19.3,0,1.3,79
102,백령도,2023-06-20 07:00,18.5,.8,1.5,88
102,백령도,2023-06-20 08:00,18.2,4,1.6,94
102,백령도,2023-06-20 09:00,17.7,5.7,3.3,96
102,백령도,2023-06-20 10:00,19.5,0,1.2,91
102,백령도,2023-06-20 11:00,20.6,0,.9,88
102,백령도,2023-06-20 12:00,19.8,0,2.9,88
102,백령도,2023-06-20 13:00,20,0,2.4,88
102,백령도,2023-06-20 14:00,21.1,0,2.5,82
102,백령도,2023-06-20 15:00,21.1,,2.5,80
102,백령도,2023-06-20 16:00,21.2,,4.4,75
102,백령도,2023-06-20 17:00,20.4,,2.1,80
102,백령도,2023-06-20 18:00,20.1,0,2.3,80
102,백령도,2023-06-20 19:00,18.7,.1,3.6,92
102,백령도,2023-06-20 20:00,18.1,.7,2,97
102,백령도,2023-06-20 21:00,18.1,1.7,1.5,98
102,백령도,2023-06-20 22:00,18.1,3.1,1.6,98
102,백령도,2023-06-20 23:00,17.7,1.8,1.7,98
102,백령도,2023-06-21 00:00,17.5,2.6,1.5,98
102,백령도,2023-06-21 01:00,17.7,1.5,2.2,98
102,백령도,2023-06-21 02:00,18.1,0,1.9,98
102,백령도,2023-06-21 03:00,18,.3,1.9,98
102,백령도,2023-06-21 04:00,18.1,.2,2.1,98
102,백령도,2023-06-21 05:00,17.4,0,1.8,98
102,백령도,2023-06-21 06:00,17.6,.2,2.3,98
102,백령도,2023-06-21 07:00,17.8,0,1.4,98
